Business Name,Street Address,City,Province,Postal Code,Phone,Website,Industry,Data Source,Confidence,Employee Range,Employee Count Source,Employee Confidence,Revenue Range,Revenue Source,Revenue Confidence,Years in Business,Founded Year,Age Source,Age Confidence
Mondelez Canada,45 Ewen Rd,Hamilton,ON,UNKNOWN,(855) 535-5666,https://www.mondelezinternational.com/canada/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,13.7,2012,whois,85%
The Cotton Factory,270 Sherman Ave N,Hamilton,ON,UNKNOWN,(905) 547-8256,https://www.cottonfactory.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,11.0,2014,whois,85%
Arts Factory,947 Burlington St E,Hamilton,ON,UNKNOWN,(289) 201-4081,https://artsfactory.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,2.2,2023,whois,85%
Bunge,515 Victoria Ave N,Hamilton,ON,UNKNOWN,(800) 535-3898,http://www.bungeag.com/?utm_source=extnet&utm_medium=yext,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,5.3,2020,whois,85%
Innovation Factory,175 Longwood Rd S Suite B21,Hamilton,ON,UNKNOWN,(905) 667-2611,https://innovationfactory.ca/,general_business,Google Places API (New) - REAL,90%,11-50,website_scrape,75%,$1.1M-$10.0M,employee_based_estimate,35%,15.7,2010,whois,85%
SucroCan Canada Inc - Ferguson Sugar Refinery,560 Ferguson Ave N,Hamilton,ON,UNKNOWN,(305) 901-5222,https://sucro.us/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,9.7,2016,whois,85%
Emerald Manufacturing Site,356 Emerald St N,Hamilton,ON,UNKNOWN,(905) 527-6192,UNKNOWN - needs research,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Mercanti Specialty Foods Inc.,173 Nebo Rd,Hamilton,ON,UNKNOWN,UNKNOWN - check website,http://mamayolandas.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,9.0,2016,whois,85%
Karma Candy Inc,356 Emerald St N,Hamilton,ON,UNKNOWN,(905) 527-6222,http://www.karmacandy.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,17.9,2007,whois,85%
The Spice Factory,121 Hughson St. N,Hamilton,ON,UNKNOWN,(289) 925-8446,http://www.spicefactory.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,11.1,2014,whois,85%
Stelco Hamilton Works,386 Wilcox St,Hamilton,ON,UNKNOWN,(905) 528-2511,https://www.stelco.com/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,29.0,1996,whois,85%
Cassell Manufacturing,400 Wentworth St N,Hamilton,ON,UNKNOWN,(905) 662-0330,UNKNOWN - needs research,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Container57,65 John St S,Hamilton,ON,UNKNOWN,(289) 556-4205,https://60424e-3.myshopify.com/,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Ontario Ravioli,121 Brockley Dr,Hamilton,ON,UNKNOWN,(905) 561-4132,http://ontarioravioli.com/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,2.7,2023,whois,85%
G. S. Dunn Ltd.,80 Park St N,Hamilton,ON,UNKNOWN,(905) 522-0833,http://gsdunn.com/,wholesale,Google Places API (New) - REAL,90%,11-50,website_scrape,75%,$2.2M-$20.0M,employee_based_estimate,35%,28.0,1997,whois,85%
Orlick Industries Ltd.,411 Parkdale Ave N,Hamilton,ON,UNKNOWN,(905) 544-1997,http://www.orlick.on.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,25.0,2000,whois,85%
Factory Shoe,1179 Upper James St,Hamilton,ON,UNKNOWN,(905) 318-9799,https://www.factoryshoe.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,24.3,2001,whois,85%
Denninger's Manufacturing Facility,55 Brant St,Hamilton,ON,UNKNOWN,(905) 522-2414,http://www.denningers.com/,general_business,Google Places API (New) - REAL,90%,201-500,website_scrape,75%,$20.1M-$100.0M,employee_based_estimate,35%,22.2,2003,whois,85%
sweet & simple co.,942 Main St E,Hamilton,ON,UNKNOWN,(905) 520-5581,http://sweetandsimpleco.com/,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,0.6,2025,whois,85%
Atlantic Packaging Products Ltd.,863 Nebo Rd,Hamilton,ON,UNKNOWN,(800) 268-5620,https://atlantic.ca/locations/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,25.0,2000,whois,85%
The Standard,10 James St N,Hamilton,ON,UNKNOWN,(289) 619-0955,https://www.thestandardhamilton.com/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,1.9,2023,whois,85%
Henry's on James,303 James St N,Hamilton,ON,UNKNOWN,(905) 529-2299,http://www.henrysonjames.com/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,0.6,2025,whois,85%
Undefined,35 King William St,Hamilton,ON,UNKNOWN,(905) 393-8343,https://eatundefined.com/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,5.0,2020,whois,85%
11:11 Hamilton,Lower,150 James St S,ON,UNKNOWN,(905) 906-0290,https://www.elevenhamilton.ca/,general_business,Google Places API (New) - REAL,90%,10-40,industry_estimate,30%,$1.0M-$8.0M,employee_based_estimate,35%,3.0,2022,whois,85%
Electric Diner,28 James St N,Hamilton,ON,UNKNOWN,(289) 389-3929,https://www.electricdinerhamilton.com/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,6.8,2018,whois,85%
lobby Hamilton,151 James St S,Hamilton,ON,UNKNOWN,(289) 389-3109,https://lobby.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,22.8,2003,whois,85%
Berkeley North,31 King William St,Hamilton,ON,UNKNOWN,(905) 522-5858,http://www.berkeleynorth.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,11.4,2014,whois,85%
The District Tapas + Bar,61 Barton St E,Hamilton,ON,UNKNOWN,(905) 572-9000,https://www.districttapasham.com/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,0.6,2025,whois,85%
Conversate Steak and Seafood,38 King William St,Hamilton,ON,UNKNOWN,(905) 525-3730,http://www.conversaterestaurant.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,3.2,2022,whois,85%
istanbull Donairx ( Downtown Hamilton ),298 King St W,Hamilton,ON,UNKNOWN,(905) 544-3434,https://istanbulldonairx.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,0.7,2025,whois,85%
Brothers Grimm Bistro,193 King St E,Hamilton,ON,UNKNOWN,(905) 393-1284,https://brothersgrimmbistro.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,6.6,2019,whois,85%
Shakespeare's Steak and Seafood,181 Main St E Bsmt,Hamilton,ON,UNKNOWN,(905) 528-0689,http://www.shakespeares.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,24.5,2001,whois,85%
Downtown Hamilton BIA,20 Hughson St S #104,Hamilton,ON,UNKNOWN,(905) 523-1646,http://www.downtownhamilton.org/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,25.0,2000,whois,85%
Rapscallion and Co.,178 James St N,Hamilton,ON,UNKNOWN,(905) 522-0088,http://rapandco.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,5.6,2020,whois,85%
Jane's place Hamilton,302 James St N,Hamilton,ON,UNKNOWN,(905) 525-7777,UNKNOWN - needs research,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Plank Restobar Augusta,18 Augusta St,Hamilton,ON,UNKNOWN,(289) 799-1002,http://www.plankrestobar.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,14.0,2011,whois,85%
PinToh by Chef Keng,21 John St N,Hamilton,ON,UNKNOWN,(905) 526-8373,https://pintoh.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,9.6,2016,whois,85%
The Ship,23 Augusta St,Hamilton,ON,UNKNOWN,(905) 526-0792,http://www.theship.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,16.4,2009,whois,85%
Andthenyou,145 Main St E,Hamilton,ON,UNKNOWN,UNKNOWN - check website,http://andthenyou.ca/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,2.7,2023,whois,85%
The Hamilton Club,6 Main St E,Hamilton,ON,UNKNOWN,(905) 522-4675,https://www.thehamiltonclub.com/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,26.6,1999,whois,85%
Wholesale Club Hamilton,2255 Barton St E,Hamilton,ON,UNKNOWN,(905) 561-4502,https://www.wholesaleclub.ca/store-locator/details/0202?utm_source=G&utm_medium=LPM&utm_campaign=Loblaws,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,20.0,2005,whois,85%
Murray Wholesale,351 Nash Rd N,Hamilton,ON,UNKNOWN,(905) 578-7070,http://www.murraywholesale.shop/,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
LUCX WHOLESALE,307 Nash Rd N,Hamilton,ON,UNKNOWN,(289) 639-0003,http://www.lucxwholesale.com/,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,4.4,2021,whois,85%
Best Wholesale,200 Centennial Pkwy N,Hamilton,ON,UNKNOWN,(905) 351-8511,https://bestwholesale.ca/pages/contact-us-1,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,3.9,2021,whois,85%
Fiddes Wholesale Produce Co,60 Ewen Rd,Hamilton,ON,UNKNOWN,(905) 570-7900,https://www.facebook.com/Fiddes-Wholesale-Produce-FWP-263828676991956/,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,28.6,1997,whois,85%
Reilly's 2000 Wholesale Food,420 Parkdale Ave N,Hamilton,ON,UNKNOWN,(905) 575-1332,UNKNOWN - needs research,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Agro Wholesale Produce Ltd,1032 Howard Rd,Burlington,ON,UNKNOWN,(905) 632-8891,UNKNOWN - needs research,wholesale,Google Places API (New) - REAL,90%,10-40,industry_estimate,35%,$2.0M-$16.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Traynor's Bakery Wholesale Ltd.,191 Victoria Ave S,Hamilton,ON,UNKNOWN,(905) 522-2730,http://www.traynors.ca,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,24.4,2001,whois,85%
Mercury Foodservice Ltd,Hamilton Canadian National Railway Station,360 James St N,ON,UNKNOWN,(905) 546-5554,http://mwfoods.ca/featured-products/,wholesale,Google Places API (New) - REAL,90%,10-40,industry_estimate,35%,$2.0M-$16.0M,employee_based_estimate,35%,14.4,2011,whois,85%
Tk wholesale,200 Centennial Pkwy N,Hamilton,ON,UNKNOWN,(905) 351-8511,https://tkwholesale.ca/pages/contact-us-1,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,2.9,2022,whois,85%
Shree Krishna/ Tasty Grain Rice,88 Stroud Rd,Hamilton,ON,UNKNOWN,(289) 970-1000,UNKNOWN - needs research,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Buka Kits,21 King St W,Hamilton,ON,UNKNOWN,(289) 887-2329,UNKNOWN - needs research,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
LMB Wholesale,1,420 Parkdale Ave N #2,ON,UNKNOWN,(905) 543-1930,https://lmbwholesale.com/,general_business,Google Places API (New) - REAL,90%,10-40,industry_estimate,30%,$1.0M-$8.0M,employee_based_estimate,35%,1.7,2024,whois,85%
Az Liquidators Ltd.,200 Arvin Ave.,Hamilton,ON,UNKNOWN,(416) 452-4862,http://azdistributor.ca/,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,2.2,2023,whois,85%
Rukh's Global Trading Hub,18 Mohawk Rd E,Hamilton,ON,UNKNOWN,(289) 968-5786,UNKNOWN - needs research,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
Dollar Central Liquidation,490 James St N,Hamilton,ON,UNKNOWN,(289) 933-8880,UNKNOWN - needs research,professional_services,Google Places API (New) - REAL,90%,5-20,industry_estimate,40%,$500K-$4.0M,employee_based_estimate,35%,UNKNOWN - needs WHOIS/domain age lookup,UNKNOWN,unknown,0%
sweet & simple co.,942 Main St E,Hamilton,ON,UNKNOWN,(905) 520-5581,http://sweetandsimpleco.com/,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,0.6,2025,whois,85%
Bulk Barn,659 Upper James St,Hamilton,ON,UNKNOWN,(905) 383-4588,http://www.bulkbarn.ca/,wholesale,Google Places API (New) - REAL,90%,5-20,industry_estimate,35%,$1.0M-$8.0M,employee_based_estimate,35%,25.0,2000,whois,85%
G. S. Dunn Ltd.,80 Park St N,Hamilton,ON,UNKNOWN,(905) 522-0833,http://gsdunn.com/,wholesale,Google Places API (New) - REAL,90%,11-50,website_scrape,75%,$2.2M-$20.0M,employee_based_estimate,35%,28.0,1997,whois,85%
Canway Distribution,319 Nash Rd N,Hamilton,ON,UNKNOWN,(905) 573-7286,http://canwaydistribution.com/,general_business,Google Places API (New) - REAL,90%,5-25,industry_estimate,30%,$500K-$5.0M,employee_based_estimate,35%,15.7,2010,whois,85%
